diff_n_pronouns,diff_has_coref_chain,coref_chain_removed
1,0,0
1,0,0
0,0,0
-1,0,0
-1,-1,1
0,0,0
2,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
2,0,0
-1,-1,1
0,1,0
0,-1,1
0,-1,1
0,1,0
0,0,0
-1,1,0
-1,0,0
1,1,0
1,0,0
0,0,0
0,0,0
-1,0,0
1,0,0
-2,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,0,0
0,0,0
0,0,0
2,0,0
2,1,0
1,0,0
1,0,0
0,0,0
1,0,0
-1,0,0
0,0,0
0,0,0
0,-1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-2,0,0
0,0,0
0,-1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,-1,1
-1,0,0
0,0,0
-1,0,0
0,0,0
0,0,0
-2,-1,1
0,0,0
0,-1,1
0,0,0
0,0,0
-4,0,0
-1,-1,1
-1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-2,0,0
1,0,0
-2,0,0
0,0,0
-2,0,0
-1,0,0
0,0,0
-1,-1,1
-2,0,0
-1,0,0
-1,0,0
0,0,0
0,1,0
0,0,0
-1,0,0
1,-1,1
-1,-1,1
0,0,0
0,0,0
1,0,0
-2,0,0
0,1,0
-2,0,0
-1,1,0
0,-1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,0,0
-2,0,0
-1,0,0
0,0,0
-1,0,0
0,-1,1
0,0,0
0,0,0
-2,0,0
0,0,0
0,0,0
-1,-1,1
-1,0,0
0,0,0
0,0,0
0,-1,1
-4,0,0
0,0,0
-1,0,0
0,0,0
-1,0,0
0,0,0
-1,0,0
0,0,0
0,0,0
1,-1,1
1,0,0
-2,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-2,0,0
1,0,0
1,0,0
-1,0,0
0,0,0
-2,0,0
-1,0,0
-1,0,0
-1,-1,1
0,0,0
0,0,0
-1,0,0
0,0,0
-3,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,-1,1
0,0,0
0,0,0
0,0,0
0,0,0
-2,0,0
0,0,0
0,0,0
2,0,0
-1,-1,1
2,0,0
0,0,0
1,0,0
-1,-1,1
-1,0,0
0,0,0
1,0,0
0,0,0
0,-1,1
-2,-1,1
-7,0,0
0,0,0
0,-1,1
0,-1,1
1,0,0
0,0,0
0,-1,1
-1,0,0
1,0,0
0,0,0
0,0,0
-1,0,0
-1,0,0
1,0,0
0,0,0
1,1,0
-1,0,0
-3,0,0
1,-1,1
0,0,0
0,0,0
0,0,0
0,1,0
-1,0,0
-2,0,0
0,-1,1
0,0,0
0,0,0
0,0,0
0,-1,1
-2,0,0
0,1,0
-2,-1,1
0,0,0
-1,0,0
0,0,0
1,0,0
-1,-1,1
-1,0,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,0,0
-1,-1,1
-2,0,0
-2,0,0
-1,0,0
1,0,0
0,-1,1
0,0,0
0,0,0
-3,0,0
-1,-1,1
0,0,0
-1,0,0
0,0,0
0,0,0
-2,0,0
0,0,0
